type,properties.bsm_bussto,properties.bsm_chines,geometry.type,geometry.coordinates,經度,緯度,地址,市,行政區域
Feature,4624.0,青年路派出所,Point,"121.50194851289997, 25.02208849481001",121.50194851289996,25.022088494810014,台灣台北市萬華區萬大路423巷109號,台北市,萬華區
Feature,2275.0,青峰活動中心,Point,"121.55082343907478, 25.01598078014302",121.55082343907479,25.015980780143018,台灣台北市大安區辛亥路三段225號,台北市,大安區
Feature,15109.0,青峰活動中心,Point,"121.55108784916588, 25.01528500645865",121.55108784916588,25.01528500645865,台灣台北市大安區青峰活動中心,台北市,大安區
Feature,1937.0,青島林森路口,Point,"121.52227854013675, 25.04373038891392",121.52227854013675,25.04373038891392,台灣台北市中正區青島林森路口,台北市,中正區
Feature,6726.0,青雲街口,Point,"121.57527, 25.01845",121.57526999999999,25.01845,台灣台北市信義區景雲街30號,台北市,信義區
Feature,271.0,保一總隊,Point,"121.51700211020317, 25.11891558105487",121.51700211020315,25.118915581054875,台灣台北市北投區立農街二段301號,台北市,北投區
Feature,5996.0,保安街口,Point,"121.51134, 25.05953",121.51133999999999,25.05953,台灣台北市大同區延平北路二段222號,台北市,大同區
Feature,1444.0,保安街口,Point,"121.5115, 25.059755",121.5115,25.059755,台灣台北市大同區延平北路二段213號,台北市,大同區
Feature,4631.0,保德里,Point,"121.49743040740995, 25.023925826087964",121.49743040740995,25.023925826087964,台灣台北市萬華區東園街175號,台北市,萬華區
Feature,1776.0,保德里,Point,"121.49720688094997, 25.024103061134003",121.49720688094996,25.024103061134003,台灣台北市萬華區東園街114號,台北市,萬華區
Feature,6019.0,信安街,Point,"121.55558, 25.02356",121.55558,25.02356,台灣台北市信義區信安街,台北市,信義區
Feature,2111.0,信安街,Point,"121.55546, 25.0234",121.55546000000001,25.0234,台灣台北市信義區信安街,台北市,信義區
Feature,2113.0,信義大安路口,Point,"121.54616661837997, 25.033383700490024",121.54616661837996,25.03338370049002,台灣台北市大安區信義大安路口,台北市,大安區
Feature,2112.0,信義大安路口,Point,"121.5456, 25.0332",121.5456,25.0332,台灣台北市大安區信義路四段60-17號,台北市,大安區
Feature,2279.0,信義市場,Point,"121.53811848345997, 25.03412852326099",121.53811848345995,25.03412852326099,台灣台北市大安區信義市場,台北市,大安區
Feature,6651.0,信義市場,Point,"121.53748766864997, 25.033921442044967",121.53748766864996,25.033921442044967,台灣台北市大安區建國南路一段358號,台北市,大安區
Feature,2115.0,信義永康街口(捷運東門站),Point,"121.53014466731996, 25.033765139523023",121.53014466731995,25.033765139523023,台灣台北市中正區信義路二段207號,台北市,中正區
Feature,2116.0,信義永康街口(捷運東門站),Point,"121.52972269847595, 25.033652698417544",121.52972269847595,25.033652698417548,台灣台北市大安區信義永康街口(捷運東門站),台北市,大安區
Feature,2117.0,信義光復路口,Point,"121.55798197964789, 25.0331",121.55798197964788,25.0331,台灣台北市信義區信義光復路口,台北市,信義區
Feature,2118.0,信義光復路口,Point,"121.55707495125675, 25.033019729699376",121.55707495125677,25.033019729699372,台灣台北市大安區信義光復路口,台北市,大安區
Feature,2122.0,信義行政中心(松仁),Point,"121.56847423272613, 25.033686658517485",121.56847423272612,25.033686658517485,台灣台北市信義區信義行政中心(松仁),台北市,信義區
Feature,2121.0,信義行政中心(松仁),Point,"121.56818707927135, 25.034559447741948",121.56818707927135,25.034559447741948,台灣台北市信義區信義行政中心(松仁),台北市,信義區
Feature,6929.0,信義行政中心(信義),Point,"121.56667679482945, 25.032979361591558",121.56667679482945,25.032979361591558,台灣台北市信義區信義行政中心(下客),台北市,信義區
Feature,2123.0,信義行政中心(信義),Point,"121.56742144285262, 25.032703883353374",121.56742144285263,25.03270388335337,台灣台北市信義區信義行政中心(信義),台北市,信義區
Feature,2125.0,信義杭州路口,Point,"121.52385022662536, 25.035602096301236",121.52385022662537,25.035602096301236,台灣台北市中正區信義杭州路口,台北市,中正區
Feature,2126.0,信義杭州路口,Point,"121.52477400312495, 25.03532236482096",121.52477400312496,25.035322364820964,台灣台北市中正區信義杭州路口,台北市,中正區
Feature,20270.0,信義松德路口,Point,"121.57442647485998, 25.03455",121.57442647485998,25.03455,台灣台北市信義區信義松德路口,台北市,信義區
Feature,1947.0,信義林森路口,Point,"121.52078743915226, 25.03728519399574",121.52078743915226,25.03728519399574,台灣台北市中正區中正紀念堂,台北市,中正區
Feature,1946.0,信義林森路口,Point,"121.52081653718713, 25.037114017900283",121.52081653718712,25.037114017900286,台灣台北市中正區中正紀念堂,台北市,中正區
Feature,2127.0,信義建國路口,Point,"121.53922208111534, 25.033384628974098",121.53922208111534,25.033384628974094,台灣台北市大安區信義路三段132號,台北市,大安區
Feature,2128.0,信義建國路口,Point,"121.5383185758749, 25.03349264505409",121.5383185758749,25.03349264505409,台灣台北市大安區信義建國路口,台北市,大安區
Feature,6724.0,信義國中(松仁),Point,"121.56820954472369, 25.028957016658882",121.56820954472369,25.02895701665888,台灣台北市信義區信義國中(松仁),台北市,信義區
Feature,6680.0,信義國中(松仁),Point,"121.56836431328335, 25.02881",121.56836431328337,25.02881,台灣台北市信義區信義國中(松仁),台北市,信義區
