鄉鎮市區,土地移轉總坪數,都市土地使用分區,總樓層數,主要用途,主要建材,建物移轉總坪數,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,每坪單價,車位類別,車位移轉總坪數,土地,建物,車位,轉移樓層,建物類型,Area,EightCount,ParkCount,FuneralCount,GasCount,CrimeCount,PoliceCount,busCount,subwayCount,govCount,clinicCount,hospitalCount,pharmacyCount,fireareaCount,firewayCount,土地面積,總人口數,男性人數,女性人數,人口密度,每戶人數,每戶成年人數,所得收入總計,可支配所得,消費支出,儲蓄,所得總額
中正區,7.184375269414073,住,10,住家用,鋼筋混凝土造,48.68435182566319,2,1,1,有,無,964198.3109500001,坡道平面,13.421925503322205,1,1,1,7,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,7.2358002713425105,住,10,住家用,鋼筋混凝土造,48.93542683507851,2,1,1,有,無,979993.3516800001,坡道機械,13.424950503435644,1,1,1,8,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,7.2146252705484475,住,10,住家用,鋼筋混凝土造,48.82350183088132,2,1,1,有,無,990069.38436,坡道平面,13.421925503322205,1,1,1,9,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,5.00637518773907,住,10,住家用,鋼筋混凝土造,37.927451422279425,2,1,1,有,無,1073226.406035,坡道平面,13.421925503322205,1,1,1,10,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,7.2660502724768845,住,10,住家用,鋼筋混凝土造,49.08365184063694,2,1,1,有,無,908535.50312,坡道平面,13.421925503322205,1,1,1,2,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,7.2660502724768845,住,10,住家用,鋼筋混凝土造,49.08365184063694,2,1,1,有,無,930968.56013,坡道平面,13.421925503322205,1,1,1,3,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,7.2660502724768845,住,10,住家用,鋼筋混凝土造,49.08365184063694,2,1,1,有,無,926201.6181600001,坡道平面,13.421925503322205,1,1,1,4,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,7.2660502724768845,住,10,住家用,鋼筋混凝土造,49.08365184063694,2,1,1,有,無,936016.493825,坡道平面,13.421925503322205,1,1,1,5,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,7.2660502724768845,住,10,住家用,鋼筋混凝土造,49.08365184063694,2,1,1,有,無,953401.6171400001,坡道平面,13.421925503322205,1,1,1,6,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
中正區,7.2660502724768845,住,10,住家用,鋼筋混凝土造,49.08365184063694,2,1,1,有,無,959011.5342850001,坡道平面,13.421925503322205,1,1,1,7,華廈,中正區,6,1,33,3,459,17,213,9,36,290,3,64,41,38,7.6071,155508,73997,81511,20442,2.83,2.39,1744835,1450563,1171917,278646,1894842
