鄉鎮市區,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,總樓層數,主要用途,主要建材,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,土地,建物,車位,轉移樓層,建物類型
內湖區,23.42,住,1080918,15,住家用,鋼筋混凝土造,142.89,3,2,2,有,無,22000000,162988,坡道機械,16.5,1400000,1,1,1,15,住宅大樓
內湖區,23.67,住,1080929,15,住家用,鋼筋混凝土造,143.82,3,2,2,有,無,22160000,163054,坡道機械,16.5,1400000,1,1,1,15,住宅大樓
內湖區,22.99,住,1090115,15,住家用,鋼筋混凝土造,140.71,3,2,2,有,無,21800000,164238,坡道機械,16.5,1400000,1,1,1,1,住宅大樓
內湖區,23.42,住,1080610,15,住家用,鋼筋混凝土造,142.89,3,2,2,有,無,20510000,150407,坡道機械,16.5,1500000,1,1,1,2,住宅大樓
內湖區,23.42,住,1080622,15,住家用,鋼筋混凝土造,126.39,3,2,2,有,無,19480000,154126,0,0.0,0,1,1,0,3,住宅大樓
內湖區,23.42,住,1080717,15,住家用,鋼筋混凝土造,142.89,3,2,2,有,無,21630000,160060,坡道機械,16.5,1400000,1,1,1,4,住宅大樓
內湖區,23.42,住,1080605,15,住家用,鋼筋混凝土造,142.89,3,2,2,有,無,22910000,169396,坡道機械,16.5,1500000,1,1,1,11,住宅大樓
內湖區,23.42,住,1081009,15,住家用,鋼筋混凝土造,142.89,3,2,2,有,無,23190000,172403,坡道機械,16.5,1400000,1,1,1,14,住宅大樓
內湖區,23.42,住,1090224,15,住家用,鋼筋混凝土造,142.89,3,2,2,有,無,23190000,172403,坡道機械,16.5,1400000,1,1,1,15,住宅大樓
內湖區,23.33,住,1081231,15,住家用,鋼筋混凝土造,126.1,3,2,2,有,無,21000000,166534,0,0.0,0,1,1,0,1,住宅大樓
內湖區,23.67,住,1080712,15,住家用,鋼筋混凝土造,143.82,3,2,2,有,無,20600000,149230,坡道機械,16.5,1600000,1,1,1,2,住宅大樓
內湖區,23.67,住,1080610,15,住家用,鋼筋混凝土造,143.82,3,2,2,有,無,21780000,160069,坡道機械,16.5,1400000,1,1,1,3,住宅大樓
內湖區,23.67,住,1080614,15,住家用,鋼筋混凝土造,143.82,3,2,2,有,無,22080000,160069,坡道機械,16.5,1700000,1,1,1,4,住宅大樓
內湖區,23.67,住,1080605,15,住家用,鋼筋混凝土造,143.82,3,2,2,有,無,22850000,168473,坡道機械,16.5,1400000,1,1,1,10,住宅大樓
內湖區,23.67,住,1080708,15,住家用,鋼筋混凝土造,143.82,3,2,2,有,無,22970000,169416,坡道機械,16.5,1400000,1,1,1,11,住宅大樓
內湖區,23.67,住,1080907,15,住家用,鋼筋混凝土造,143.82,3,2,2,有,無,23210000,171301,坡道機械,16.5,1400000,1,1,1,13,住宅大樓
內湖區,23.67,住,1081127,15,住家用,鋼筋混凝土造,143.82,3,2,2,有,無,23450000,172400,坡道機械,16.5,1500000,1,1,1,14,住宅大樓
內湖區,23.67,住,1081222,15,住家用,鋼筋混凝土造,143.82,3,2,2,有,無,23350000,172400,坡道機械,16.5,1400000,1,1,1,15,住宅大樓
內湖區,18.39,住,1080613,7,住家用,鋼筋混凝土造,115.62,3,2,1,有,無,17100000,157385,坡道機械,16.5,1500000,1,1,1,3,華廈
內湖區,18.39,住,1080617,7,住家用,鋼筋混凝土造,115.62,3,2,1,有,無,17600000,163438,坡道機械,16.5,1400000,1,1,1,4,華廈
內湖區,18.39,住,1080607,7,住家用,鋼筋混凝土造,115.62,3,2,1,有,無,17770000,164144,坡道機械,16.5,1500000,1,1,1,5,華廈
內湖區,20.1,住,1080714,7,住家用,鋼筋混凝土造,124.71,3,2,1,有,無,17980000,152296,坡道機械,16.5,1500000,1,1,1,2,華廈
內湖區,18.65,住,1080606,7,住家用,鋼筋混凝土造,116.87,3,2,1,有,無,18100000,163395,坡道機械,16.5,1700000,1,1,1,4,華廈
內湖區,18.73,住,1080607,7,住家用,鋼筋混凝土造,117.39,3,2,1,有,無,16860000,152245,坡道機械,16.5,1500000,1,1,1,2,華廈
內湖區,18.73,住,1080606,7,住家用,鋼筋混凝土造,117.22,3,2,1,有,無,17960000,163423,坡道機械,16.5,1500000,1,1,1,4,華廈
內湖區,18.73,住,1080607,7,住家用,鋼筋混凝土造,117.22,3,2,1,有,無,17550000,160346,坡道機械,16.5,1400000,1,1,1,5,華廈
