年月底別,行政區,土地面積[平方公里],里數[里],鄰數[鄰],戶數[戶],人口數/總計[人],人口數/男[人],人口數/女[人],性比例[男/百女],戶量[人/戶],人口密度[人/平方公里]
105年8月,中山區,13.6821,42,867,99358,231166,107879,123287,87.5,2.33,16896
105年8月,中正區,7.6071,31,580,65087,161295,77003,84292,91.35,2.48,21203
105年8月,大同區,5.6815,25,522,51485,130236,63571,66665,95.36,2.53,22923
105年8月,萬華區,8.8522,36,723,78386,193706,95413,98293,97.07,2.47,21882
105年8月,文山區,31.509,43,997,104789,275356,132275,143081,92.45,2.63,8739
105年8月,南港區,21.8424,20,452,46738,122510,59894,62616,95.65,2.62,5609
105年8月,內湖區,31.5787,39,907,107010,287563,137546,150017,91.69,2.69,9106
105年8月,士林區,62.3682,51,995,106521,290207,140231,149976,93.5,2.72,4653
105年8月,北投區,56.8216,42,826,96137,257530,124314,133216,93.32,2.68,4532
105年9月,總計,271.7997,456,9557,1046849,2696316,1290311,1406005,91.77,2.58,9920
105年9月,松山區,9.2878,33,760,80281,208387,98086,110301,88.93,2.6,22437
105年9月,信義區,11.2077,41,905,89610,228059,109103,118956,91.72,2.55,20348
105年9月,大安區,11.3614,53,1023,120446,311479,145638,165841,87.82,2.59,27416
105年9月,中山區,13.6821,42,867,99536,231106,107839,123267,87.48,2.32,16891
105年9月,中正區,7.6071,31,580,65062,160790,76761,84029,91.35,2.47,21137
105年9月,大同區,5.6815,25,522,51556,130167,63543,66624,95.38,2.52,22911
105年9月,萬華區,8.8522,36,723,78536,193741,95395,98346,97,2.47,21886
105年9月,文山區,31.509,43,997,104902,275214,132220,142994,92.47,2.62,8734
105年9月,南港區,21.8424,20,452,46809,122523,59898,62625,95.65,2.62,5609
105年9月,內湖區,31.5787,39,907,107164,287453,137490,149963,91.68,2.68,9103
105年9月,士林區,62.3682,51,995,106629,290001,140124,149877,93.49,2.72,4650
105年9月,北投區,56.8216,42,826,96318,257396,124214,133182,93.27,2.67,4530
105年10月,總計,271.7997,456,9555,1046417,2696319,1290248,1406071,91.76,2.58,9920
105年10月,松山區,9.2878,33,760,80220,208287,98019,110268,88.89,2.6,22426
105年10月,信義區,11.2077,41,905,89526,228001,109054,118947,91.68,2.55,20343
105年10月,大安區,11.3614,53,1023,120431,311506,145645,165861,87.81,2.59,27418
105年10月,中山區,13.6821,42,867,99509,231169,107898,123271,87.53,2.32,16896
105年10月,中正區,7.6071,31,580,65038,160775,76768,84007,91.38,2.47,21135
105年10月,大同區,5.6815,25,522,51551,130162,63527,66635,95.34,2.52,22910
105年10月,萬華區,8.8522,36,723,78499,193619,95313,98306,96.96,2.47,21872
105年10月,文山區,31.509,43,997,104842,275279,132242,143037,92.45,2.63,8737
105年10月,南港區,21.8424,20,452,46784,122577,59934,62643,95.68,2.62,5612
105年10月,內湖區,31.5787,39,905,107141,287633,137584,150049,91.69,2.68,9108
105年10月,士林區,62.3682,51,995,106598,289905,140049,149856,93.46,2.72,4648
105年10月,北投區,56.8216,42,826,96278,257406,124215,133191,93.26,2.67,4530
105年11月,總計,271.7997,456,9555,1047103,2695652,1289721,1405931,91.73,2.57,9918
105年11月,松山區,9.2878,33,760,80284,208237,97966,110271,88.84,2.59,22420
105年11月,信義區,11.2077,41,904,89566,227955,108996,118959,91.62,2.55,20339
