年月底別,行政區,土地面積[平方公里],里數[里],鄰數[鄰],戶數[戶],人口數/總計[人],人口數/男[人],人口數/女[人],性比例[男/百女],戶量[人/戶],人口密度[人/平方公里]
89年9月,內湖區,31.5787,29,860,82011,252987,125077,127910,97.79,3.08,8011
89年9月,士林區,62.3682,50,995,91484,294354,145913,148441,98.3,3.22,4720
89年9月,北投區,56.8216,40,854,78380,248084,123293,124791,98.8,3.17,4366
89年10月,總計,271.7997,435,9983,888827,2645456,1309453,1336003,98.01,2.98,9733
89年10月,松山區,9.2878,33,783,71045,207339,100423,106916,93.93,2.92,22324
89年10月,信義區,11.2077,41,960,83019,240647,120290,120357,99.94,2.9,21472
89年10月,大安區,11.3614,54,1072,110019,316982,153271,163711,93.62,2.88,27900
89年10月,中山區,13.6821,40,905,79396,215096,104400,110696,94.31,2.71,15721
89年10月,中正區,7.6071,31,637,57991,163455,81094,82361,98.46,2.82,21487
89年10月,大同區,5.6815,26,629,43087,132812,66827,65985,101.28,3.08,23376
89年10月,萬華區,8.8522,36,751,70240,207003,105712,101291,104.36,2.95,23384
89年10月,文山區,31.509,37,1083,85655,252512,125499,127013,98.81,2.95,8014
89年10月,南港區,21.8424,18,454,36238,113932,57610,56322,102.29,3.14,5216
89年10月,內湖區,31.5787,29,860,82130,253138,125171,127967,97.82,3.08,8016
89年10月,士林區,62.3682,50,995,91537,294385,145887,148498,98.24,3.22,4720
89年10月,北投區,56.8216,40,854,78470,248155,123269,124886,98.71,3.16,4367
89年11月,總計,271.7997,435,9983,888811,2645979,1309460,1336519,97.98,2.98,9735
89年11月,松山區,9.2878,33,783,70966,207254,100370,106884,93.91,2.92,22315
89年11月,信義區,11.2077,41,960,82946,240483,120153,120330,99.85,2.9,21457
89年11月,大安區,11.3614,54,1072,109977,317040,153287,163753,93.61,2.88,27905
89年11月,中山區,13.6821,40,905,79486,215323,104487,110836,94.27,2.71,15738
89年11月,中正區,7.6071,31,637,57917,163280,80982,82298,98.4,2.82,21464
89年11月,大同區,5.6815,26,629,43067,132741,66757,65984,101.17,3.08,23364
89年11月,萬華區,8.8522,36,751,70258,206928,105659,101269,104.33,2.95,23376
89年11月,文山區,31.509,37,1083,85747,252842,125657,127185,98.8,2.95,8024
89年11月,南港區,21.8424,18,454,36257,114071,57643,56428,102.15,3.15,5222
89年11月,內湖區,31.5787,29,860,82159,253302,125245,128057,97.8,3.08,8021
89年11月,士林區,62.3682,50,995,91528,294341,145866,148475,98.24,3.22,4719
89年11月,北投區,56.8216,40,854,78503,248374,123354,125020,98.67,3.16,4371
89年12月,總計,271.7997,435,9983,888560,2646474,1309308,1337166,97.92,2.98,9737
89年12月,松山區,9.2878,33,783,70850,207303,100355,106948,93.84,2.93,22320
89年12月,信義區,11.2077,41,960,82829,240294,119990,120304,99.74,2.9,21440
89年12月,大安區,11.3614,54,1072,109842,316977,153164,163813,93.5,2.89,27899
89年12月,中山區,13.6821,40,905,79521,215532,104589,110943,94.27,2.71,15753
89年12月,中正區,7.6071,31,637,57867,163090,80911,82179,98.46,2.82,21439
89年12月,大同區,5.6815,26,629,43024,132694,66715,65979,101.12,3.08,23355
89年12月,萬華區,8.8522,36,751,70250,206855,105596,101259,104.28,2.94,23368
89年12月,文山區,31.509,37,1083,85822,253131,125731,127400,98.69,2.95,8034
89年12月,南港區,21.8424,18,454,36330,114144,57687,56457,102.18,3.14,5226
89年12月,內湖區,31.5787,29,860,82202,253584,125353,128231,97.76,3.08,8030
89年12月,士林區,62.3682,50,995,91559,294443,145869,148574,98.18,3.22,4721
89年12月,北投區,56.8216,40,854,78464,248427,123348,125079,98.62,3.17,4372
90年1月,總計,271.7997,435,9983,888942,2647076,1309361,1337715,97.88,2.98,9739
90年1月,松山區,9.2878,33,783,70808,207149,100269,106880,93.81,2.93,22303
90年1月,信義區,11.2077,41,960,82764,240162,119886,120276,99.68,2.9,21428
90年1月,大安區,11.3614,54,1072,109885,317083,153187,163896,93.47,2.89,27909
90年1月,中山區,13.6821,40,905,79644,215743,104682,111061,94.26,2.71,15768
90年1月,中正區,7.6071,31,637,57851,163044,80861,82183,98.39,2.82,21433
90年1月,大同區,5.6815,26,629,43017,132634,66676,65958,101.09,3.08,23345
90年1月,萬華區,8.8522,36,751,70236,206790,105532,101258,104.22,2.94,23360
90年1月,文山區,31.509,37,1083,85936,253444,125862,127582,98.65,2.95,8044
90年1月,南港區,21.8424,18,454,36359,114189,57716,56473,102.2,3.14,5228
90年1月,內湖區,31.5787,29,860,82271,253812,125429,128383,97.7,3.09,8037
90年1月,士林區,62.3682,50,995,91617,294434,145846,148588,98.15,3.21,4721
90年1月,北投區,56.8216,40,854,78554,248592,123415,125177,98.59,3.16,4375
90年2月,總計,271.7997,435,9982,889669,2645881,1308531,1337350,97.85,2.97,9735
90年2月,松山區,9.2878,33,783,70822,206908,100139,106769,93.79,2.92,22277
90年2月,信義區,11.2077,41,960,82804,239965,119777,120188,99.66,2.9,21411
90年2月,大安區,11.3614,54,1072,109958,316782,152992,163790,93.41,2.88,27882
90年2月,中山區,13.6821,40,905,79874,216002,104739,111263,94.14,2.7,15787
90年2月,中正區,7.6071,31,637,57833,162809,80713,82096,98.32,2.82,21402
90年2月,大同區,5.6815,26,629,43066,132597,66651,65946,101.07,3.08,23338
90年2月,萬華區,8.8522,36,750,70251,206509,105395,101114,104.23,2.94,23329
90年2月,文山區,31.509,37,1083,86050,253604,125994,127610,98.73,2.95,8049
90年2月,南港區,21.8424,18,454,36395,114163,57673,56490,102.09,3.14,5227
90年2月,內湖區,31.5787,29,860,82343,253808,125402,128406,97.66,3.08,8037
90年2月,士林區,62.3682,50,995,91634,294208,145701,148507,98.11,3.21,4717
90年2月,北投區,56.8216,40,854,78639,248526,123355,125171,98.55,3.16,4374
90年3月,總計,271.7997,435,9982,890559,2644602,1307593,1337009,97.8,2.97,9730
90年3月,松山區,9.2878,33,783,70847,206767,100051,106716,93.75,2.92,22262
90年3月,信義區,11.2077,41,960,82831,239741,119644,120097,99.62,2.89,21391
90年3月,大安區,11.3614,54,1072,110040,316821,152890,163931,93.26,2.88,27886
90年3月,中山區,13.6821,40,905,80051,216010,104674,111336,94.02,2.7,15788
90年3月,中正區,7.6071,31,637,57843,162636,80624,82012,98.31,2.81,21380
90年3月,大同區,5.6815,26,629,43151,132502,66618,65884,101.11,3.07,23322
90年3月,萬華區,8.8522,36,750,70272,206149,105224,100925,104.26,2.93,23288
90年3月,文山區,31.509,37,1083,86170,253568,125942,127626,98.68,2.94,8047
90年3月,南港區,21.8424,18,454,36459,114169,57672,56497,102.08,3.13,5227
90年3月,內湖區,31.5787,29,860,82431,253979,125490,128489,97.67,3.08,8043
90年3月,士林區,62.3682,50,995,91703,293795,145473,148322,98.08,3.2,4711
90年3月,北投區,56.8216,40,854,78761,248465,123291,125174,98.5,3.15,4373
90年4月,總計,271.7997,435,9982,891050,2643578,1306764,1336814,97.75,2.97,9726
90年4月,松山區,9.2878,33,783,70789,206455,99895,106560,93.75,2.92,22229
90年4月,信義區,11.2077,41,960,82773,239315,119386,119929,99.55,2.89,21353
90年4月,大安區,11.3614,54,1072,110104,316797,152854,163943,93.24,2.88,27884
90年4月,中山區,13.6821,40,905,80206,216008,104641,111367,93.96,2.69,15788
90年4月,中正區,7.6071,31,637,57903,162717,80645,82072,98.26,2.81,21390
90年4月,大同區,5.6815,26,629,43157,132389,66585,65804,101.19,3.07,23302
90年4月,萬華區,8.8522,36,750,70286,205850,105053,100797,104.22,2.93,23254
90年4月,文山區,31.509,37,1083,86249,253691,125969,127722,98.63,2.94,8051
90年4月,南港區,21.8424,18,454,36516,114186,57665,56521,102.02,3.13,5228
90年4月,內湖區,31.5787,29,860,82524,253987,125454,128533,97.6,3.08,8043
90年4月,士林區,62.3682,50,995,91674,293612,145324,148288,98,3.2,4708
90年4月,北投區,56.8216,40,854,78869,248571,123293,125278,98.42,3.15,4375
90年5月,總計,271.7997,435,9986,891933,2641820,1305601,1336219,97.71,2.96,9720
90年5月,松山區,9.2878,33,783,70859,206205,99730,106475,93.67,2.91,22202
90年5月,信義區,11.2077,41,963,82783,238917,119127,119790,99.45,2.89,21317
90年5月,大安區,11.3614,54,1072,110199,316698,152764,163934,93.19,2.87,27875
90年5月,中山區,13.6821,40,905,80308,215947,104545,111402,93.84,2.69,15783
90年5月,中正區,7.6071,31,637,57984,162618,80604,82014,98.28,2.8,21377
90年5月,大同區,5.6815,26,629,43207,132215,66494,65721,101.18,3.06,23271
90年5月,萬華區,8.8522,36,750,70273,205413,104823,100590,104.21,2.92,23205
90年5月,文山區,31.509,37,1084,86400,253728,125929,127799,98.54,2.94,8053
90年5月,南港區,21.8424,18,454,36566,114165,57640,56525,101.97,3.12,5227
90年5月,內湖區,31.5787,29,860,82628,254005,125473,128532,97.62,3.07,8044
90年5月,士林區,62.3682,50,995,91716,293426,145231,148195,98,3.2,4705
90年5月,北投區,56.8216,40,854,79010,248483,123241,125242,98.4,3.14,4373
90年6月,總計,271.7997,435,9987,892581,2641036,1304877,1336159,97.66,2.96,9717
90年6月,松山區,9.2878,33,783,70923,206122,99636,106486,93.57,2.91,22193
90年6月,信義區,11.2077,41,963,82730,238663,118983,119680,99.42,2.88,21295
90年6月,大安區,11.3614,54,1072,110279,316849,152792,164057,93.13,2.87,27888
90年6月,中山區,13.6821,40,905,80382,216013,104568,111445,93.83,2.69,15788
90年6月,中正區,7.6071,31,637,58056,162532,80551,81981,98.26,2.8,21366
90年6月,大同區,5.6815,26,629,43233,132147,66424,65723,101.07,3.06,23259
90年6月,萬華區,8.8522,36,751,70252,205094,104660,100434,104.21,2.92,23169
90年6月,文山區,31.509,37,1084,86581,253930,126041,127889,98.55,2.93,8059
90年6月,南港區,21.8424,18,454,36616,114113,57601,56512,101.93,3.12,5224
90年6月,內湖區,31.5787,29,860,82728,254076,125454,128622,97.54,3.07,8046
90年6月,士林區,62.3682,50,995,91731,293214,145091,148123,97.95,3.2,4701
90年6月,北投區,56.8216,40,854,79070,248283,123076,125207,98.3,3.14,4370
90年7月,總計,271.7997,435,9990,893025,2639619,1303899,1335720,97.62,2.96,9712
90年7月,松山區,9.2878,33,783,70907,205825,99481,106344,93.55,2.9,22161
90年7月,信義區,11.2077,41,963,82684,238303,118789,119514,99.39,2.88,21262
90年7月,大安區,11.3614,54,1072,110308,316604,152666,163938,93.12,2.87,27867
90年7月,中山區,13.6821,40,905,80454,216013,104533,111480,93.77,2.68,15788
90年7月,中正區,7.6071,31,637,58054,162300,80393,81907,98.15,2.8,21335
90年7月,大同區,5.6815,26,629,43278,131998,66363,65635,101.11,3.05,23233
90年7月,萬華區,8.8522,36,751,70270,204827,104529,100298,104.22,2.91,23139
90年7月,文山區,31.509,37,1084,86666,254038,126023,128015,98.44,2.93,8062
90年7月,南港區,21.8424,18,454,36636,114078,57512,56566,101.67,3.11,5223
90年7月,內湖區,31.5787,29,863,82837,254231,125521,128710,97.52,3.07,8051
90年7月,士林區,62.3682,50,995,91746,293108,145062,148046,97.98,3.19,4700
90年7月,北投區,56.8216,40,854,79185,248294,123027,125267,98.21,3.14,4370
90年8月,總計,271.7997,435,9985,893668,2636811,1302240,1334571,97.58,2.95,9701
90年8月,松山區,9.2878,33,783,70905,205507,99304,106203,93.5,2.9,22127
90年8月,信義區,11.2077,41,963,82748,237925,118571,119354,99.34,2.88,21229
90年8月,大安區,11.3614,54,1072,110355,316192,152451,163741,93.1,2.87,27830
90年8月,中山區,13.6821,40,905,80603,215884,104449,111435,93.73,2.68,15779
90年8月,中正區,7.6071,31,632,58063,162079,80279,81800,98.14,2.79,21306
90年8月,大同區,5.6815,26,629,43272,131836,66275,65561,101.09,3.05,23204
90年8月,萬華區,8.8522,36,751,70289,204503,104302,100201,104.09,2.91,23102
90年8月,文山區,31.509,37,1084,86748,253954,125989,127965,98.46,2.93,8060
90年8月,南港區,21.8424,18,454,36656,113955,57458,56497,101.7,3.11,5217
90年8月,內湖區,31.5787,29,863,82999,254308,125546,128762,97.5,3.06,8053
90年8月,士林區,62.3682,50,995,91748,292642,144751,147891,97.88,3.19,4692
90年8月,北投區,56.8216,40,854,79282,248026,122865,125161,98.17,3.13,4365
