年別,行政區,家庭戶數[戶],每戶人數[人],每戶成年人數[人],每戶就業人數[人],每戶所得收入者人數[人],一、所得收入總計[元],1.受僱人員報酬,[1]本業薪資,[2]兼業薪資,[3]其他收入,2.產業主所得,3.財產所得收入,4.自用住宅設算租金收入,5.經常移轉收入,[1]從私人,[2]從政府,[3]社會保險受益,[4]從企業,[5]從國外,6.雜項收入,二、非消費支出[元],1.利息支出,2.經常移轉支出,[1]對私人,[2]對政府,[3]社會保險,[4]對國外,三、消費支出[元],1.食品及非酒精飲料,2.菸酒及檳榔,3.衣著鞋襪及服飾用品,4.住宅服務、水電瓦斯及 其他燃料,[1]房地租及水費,[2]電費及燃料,5.家具設備及家務維護,6.醫療保健,7.交通,[1]個人交通工具之購置,[2]個人交通設備使用管理及 保養費,[3]乘交通設備及其他交通服務,[4]汽、機車保險費,8.通訊,9.休閒與文化,[1]套裝旅遊[不含自助旅遊],[2]娛樂消遣及文化服務,[3]書報雜誌文具,[4]教育消遣康樂器材及其附屬品,10.教育,11.餐廳及旅館,12.什項消費,可支配所得[元],消費支出[元],儲蓄[元],所得總額[元]
102年,內湖區,102935,3.36,2.78,1.59,1.82,1620706,1108116,818206,70094,219815,145994,76290,98200,191855,53257,40908,96347,736,607,251,322802,46422,276380,74717,55504,143948,2210,1004022,151502,8553,28324,264285,237858,26427,24401,119567,105116,7788,71462,19726,6140,42804,68762,37559,14289,6705,10209,46146,84680,59883,1297904,1004022,293882,1717309
102年,士林區,104374,3.23,2.69,1.44,1.77,1640043,892990,659772,42527,190691,252132,107988,99180,287577,127176,43971,116392,38,-,177,312106,25822,286284,86392,60767,135553,3573,1087595,154130,10731,33274,318149,293156,24993,36311,122062,81951,7372,50977,19621,3981,35087,78965,41610,16131,7387,13837,50010,84066,82859,1327937,1087595,240342,1758848
102年,北投區,93278,3.47,2.92,1.52,1.82,1408569,842852,627248,42177,173427,179523,68417,80555,236469,70694,50025,114816,934,-,753,240003,9240,230763,66285,40847,123382,250,920758,152783,8036,25772,266925,240486,26439,26247,110176,82644,14180,47126,17699,3639,29905,51031,23178,12462,6159,9232,36304,76146,54790,1168566,920758,247808,1524277
103年,總平均,1031465,3.13,2.59,1.34,1.7,1575819,966480,700135,63425,202920,159504,103796,106608,239317,90701,45851,100055,632,2078,115,283215,18777,264438,67125,53812,138312,5189,1014262,144205,7566,30517,301205,276729,24476,28096,126151,78606,8245,46043,20581,3737,32826,72027,39285,16141,6315,10286,40479,90433,62151,1292604,1014262,278341,1684110
103年,松山區,80008,3.24,2.62,1.34,1.69,1735594,1107661,803602,63690,240369,198983,96759,114190,217944,74507,47314,95808,315,-,57,325905,30503,295402,58906,65139,168036,3321,1090188,135201,10053,33394,342987,318445,24542,32434,128021,77601,1088,51386,21214,3914,35936,81900,45240,19864,5940,10857,52087,95457,65117,1409689,1090188,319501,1851434
103年,信義區,88636,3.08,2.56,1.27,1.65,1603311,1031540,747935,66960,216645,120379,86420,111997,252948,102765,50387,99619,177,-,27,265254,11481,253773,64557,50962,135705,2548,1034264,130002,7915,21734,319457,295108,24348,30561,136588,70441,4798,43807,17852,3983,33276,73112,42325,15220,5350,10217,50268,93021,67888,1338056,1034264,303793,1715613
103年,大安區,119841,3.04,2.59,1.3,1.79,1921756,1156033,825665,87517,242850,224678,174800,126775,239375,89292,42031,103691,407,3953,96,343697,20075,323622,92362,76737,142503,12019,1187685,164869,7432,41353,346656,320877,25780,45061,140688,77169,604,49995,22604,3965,37552,96949,56049,18650,7910,14340,34556,110629,84772,1578059,1187685,390374,2057394
103年,中山區,97610,2.87,2.49,1.18,1.64,1484973,896531,664079,41239,191213,108270,115819,127675,236646,95993,37953,92230,301,10169,32,279075,17893,261183,59626,57238,130428,13890,921815,134272,5554,25163,299127,275086,24041,20247,104118,77142,16394,40086,17123,3540,31704,77087,45320,15135,5431,11201,28234,68662,50505,1205897,921815,284082,1583101
103年,中正區,64923,3.02,2.59,1.3,1.76,1716141,1105346,791901,96968,216477,101025,137030,124318,248381,75650,45321,121061,57,6293,42,291482,20433,271049,60928,72751,132718,4653,1066214,127299,4313,35764,345219,321167,24052,29946,169815,60821,251,34809,23564,2197,29362,71312,44091,13002,5740,8479,33996,103853,54514,1424659,1066214,358445,1837595
103年,大同區,50879,3.14,2.68,1.63,1.76,1393943,741436,569573,36630,135233,200178,138070,98710,215533,76274,42918,95268,1073,-,15,227319,11656,215664,50325,35138,129797,403,956963,146062,10830,25374,283758,259663,24095,25176,121179,74505,14534,36045,21245,2682,28576,59941,31584,13466,5653,9238,18759,111485,51318,1166623,956963,209660,1491326
103年,萬華區,77568,2.81,2.35,1.17,1.58,1215375,666788,488649,42162,135976,187307,69604,69001,222660,89944,52851,79811,53,-,15,194096,15672,178424,51267,24198,102742,217,789078,125611,8652,19059,211479,190496,20984,20010,92401,50492,1852,28658,18322,1659,25835,59828,31585,11647,5325,11271,29117,84749,61843,1021278,789078,232201,1285675
103年,文山區,102515,3.18,2.54,1.37,1.67,1459090,895271,649315,63605,182351,172845,60909,97248,232782,73522,48644,107159,1454,2003,35,264415,17858,246557,60787,49609,135236,925,1013403,152136,6944,29914,293205,269610,23596,20486,135267,97465,15873,54234,21697,5661,29738,64867,34365,17036,5423,8043,49980,79851,53550,1194676,1013403,181273,1576944
103年,南港區,45323,3.33,2.78,1.48,1.84,1368716,846709,634879,24772,187059,145770,31404,70186,274459,118283,59514,94775,1886,-,188,225034,16508,208526,41337,32685,125998,8506,873927,151518,6535,27936,253284,229787,23496,18860,111151,58362,1135,38920,14968,3338,33845,45810,28745,9042,4006,4017,30311,76277,60039,1143682,873927,269754,1449726
103年,內湖區,104599,3.43,2.72,1.47,1.81,1691717,1092744,758650,90416,243677,102016,122747,125414,248750,100865,41833,103813,1632,607,45,354133,36501,317632,93258,58326,157087,8961,1124119,154298,10540,32709,311872,282459,29413,32296,141030,111308,8062,73552,24785,4908,42802,74641,33195,18816,9034,13597,53535,97453,61635,1337584,1124119,213465,1791269
103年,士林區,105119,3.21,2.6,1.32,1.59,1534828,881563,655418,24307,201838,208646,71290,99412,273565,127476,45197,100792,100,-,352,256659,6727,249931,65728,44865,139090,248,985091,154887,6201,40553,286007,262243,23764,24309,109606,72907,6422,41121,21616,3749,29359,60987,32842,14214,7240,6691,44765,84261,71248,1278169,985091,293079,1644069
103年,北投區,94444,3.23,2.69,1.44,1.74,1510503,978946,697993,93083,187870,129568,106799,85547,209239,61378,45145,102141,575,-,404,288406,16072,272334,70430,55286,143640,2978,965839,139913,6361,24970,282774,259320,23453,27896,118723,87349,23539,41681,18738,3392,31020,72561,35358,20615,6030,10558,42454,82103,49716,1222098,965839,256259,1623803
104年,總平均,1041379,3.08,2.6,1.31,1.76,1581899,939801,661129,87871,190801,164648,111793,103554,261948,104652,47796,106811,1190,1499,156,267868,14894,252974,61617,52807,134827,3724,1005898,149078,6646,28686,299256,276082,23173,28927,128925,70985,5855,41248,20187,3696,30687,76286,46482,15479,5626,8700,34710,89975,61738,1314031,1005898,308133,1697894
104年,松山區,80345,2.92,2.38,1.13,1.69,1764860,1038274,658821,171045,208408,212841,149794,112367,251562,104807,43029,103237,489,-,21,292796,18417,274379,71863,64872,137560,84,1095477,154623,5820,32216,317819,295144,22675,33330,132548,81584,9850,44331,22264,5139,28815,102967,65387,19457,8518,9606,46216,92345,67194,1472065,1095477,376588,1894060
104年,信義區,89407,3.05,2.47,1.27,1.77,1614459,1023234,704746,90069,228419,110726,157751,91489,231224,82318,43237,103222,2447,-,35,283786,15528,268259,64409,63196,140442,211,1008947,146534,7116,27706,303356,281027,22329,32041,119947,76122,5904,44030,23369,2819,31926,76541,47587,16215,5351,7387,33700,85592,68366,1330673,1008947,321726,1750874
104年,大安區,120572,3.09,2.65,1.31,1.78,1796676,1051484,741107,109964,200413,225045,142641,115395,261979,115400,42785,103752,42,-,132,297707,14630,283077,69553,68119,140403,5002,1134097,162837,4661,38930,346266,321878,24388,36925,147391,69028,344,43935,20178,4571,32102,89775,54479,18644,5818,10834,42976,86365,76840,1498969,1134097,364873,1935162
104年,中山區,98754,3.11,2.68,1.33,1.74,1527498,866440,638212,52240,175988,183762,139737,111539,225534,85210,43423,96731,170,-,487,268907,14978,253929,51143,50635,139959,12193,995879,140729,5982,26961,327968,305455,22512,27000,124717,56023,749,32981,19450,2843,31089,60312,31653,15851,5264,7545,33504,106407,55187,1258591,995879,262712,1654493
104年,中正區,65382,2.79,2.34,1.17,1.62,1610345,1058451,707822,118250,232379,115220,141871,85046,209518,68707,42010,98801,-,-,238,237124,11875,225249,39769,50273,126877,8331,1034890,128819,5309,30570,298967,276688,22278,33893,117968,46602,921,27362,16403,1916,27194,123465,93471,15205,4953,9835,37040,92139,92926,1373221,1034890,338331,1755762
104年,大同區,51432,2.91,2.5,1.42,1.77,1409870,671571,522384,25798,123390,209953,74451,109318,344387,177841,34838,131709,-,-,190,205387,7715,197672,52238,28551,116061,822,895269,125745,5935,26040,255110,234062,21048,20053,154831,48254,306,28184,17433,2331,27411,70286,48353,11736,3952,6245,22659,80285,58659,1204483,895269,309214,1485623
104年,萬華區,78159,3.09,2.59,1.37,1.82,1290707,672413,490183,59596,122634,170270,69098,84323,294445,119577,56448,113030,715,4676,158,202094,15378,186716,40970,29236,114493,2017,844435,169540,5646,21258,238508,215225,23282,19898,116339,56545,943,32791,20385,2425,27982,38864,17995,12466,3109,5293,23066,78371,48418,1088613,844435,244178,1370951
104年,文山區,103885,3.15,2.55,1.31,1.74,1623838,1019602,673390,127195,219017,134666,101369,105599,262258,77482,68070,116562,144,-,345,335244,21773,313470,94592,75779,137848,5251,1011648,136504,7906,28578,286333,260827,25506,29888,126344,78538,3092,47468,23153,4825,30894,86216,48739,18803,7163,11511,40651,95245,64551,1288595,1011648,276947,1721488
104年,南港區,46136,3.13,2.67,1.2,1.61,1275190,671744,517016,28219,126510,169988,25265,92229,315963,149095,58109,108689,70,-,-,178740,3804,174935,38603,23856,112216,260,830705,148275,7500,21667,232836,211259,21577,22881,122396,46220,264,30243,13386,2327,26716,46928,27111,10719,3951,5148,30847,79322,45116,1096450,830705,265745,1370167
104年,內湖區,105967,3.11,2.72,1.44,1.8,1603347,1064730,757591,62829,244310,129586,92853,115404,200632,67126,36920,91081,5017,488,143,289647,13269,276379,59327,55947,156155,4949,1012023,152593,7016,30292,308088,284987,23101,26988,102364,98956,17426,55726,21264,4540,32982,73216,45588,15217,5405,7006,32200,94500,52830,1313700,1012023,301677,1711416
104年,士林區,105901,3.17,2.69,1.39,1.79,1587470,960932,695191,91111,174630,149721,94180,103815,278792,110917,48609,107141,1320,10805,30,267972,17054,250918,70452,44254,134411,1801,1029915,147690,8560,27743,318441,294675,23765,27821,140085,82401,11708,44396,21774,4523,32388,75255,43729,15106,5848,10572,34090,86874,48568,1319498,1029915,289583,1720758
104年,北投區,95439,3.2,2.72,1.34,1.87,1566636,876360,639079,70790,166492,168896,97088,99338,324936,147744,54919,120029,2243,-,18,247249,14403,232847,56085,44922,131546,294,993001,159452,7896,24462,279505,256646,22859,28226,142234,76014,11447,43671,17245,3651,32526,62569,35855,11115,6138,9462,30084,90721,59311,1319387,993001,326386,1663136
105年,總平均,1045175,3,2.56,1.29,1.75,1568945,879117,631891,70693,176534,191266,119970,107442,271027,103702,44848,120943,630,-,123,248111,12548,235563,58980,49278,125318,1987,1025150,149185,6637,29069,302805,281801,21004,29161,135370,68288,3626,38958,21994,3710,30137,76807,48080,14214,5225,9289,33161,101208,63321,1320834,1025150,295684,1688289
105年,松山區,80338,2.91,2.51,1.21,1.74,1736854,924305,635046,99767,189492,209230,134871,105454,362659,168756,49512,143412,-,-,335,267482,21361,246121,83009,45670,115286,2157,1142848,142303,8234,31536,314014,292690,21324,35882,162463,69038,1042,42630,22003,3364,30000,114355,79217,16160,7736,11242,36177,103020,95827,1469372,1142848,326524,1875150
105年,信義區,89470,2.98,2.56,1.42,1.9,1752122,996115,742095,51104,202917,209190,139794,98157,308620,126115,49393,132583,58,-,247,291727,7193,284534,85290,61894,137205,145,1111728,143873,8025,35050,321686,301274,20412,30992,148694,81385,644,41954,36296,2491,30744,89446,58044,13892,6341,11169,37261,106103,78470,1460396,1111728,348668,1875967
105年,大安區,120471,2.98,2.58,1.15,1.76,1924348,1111118,736112,175243,199763,245218,204095,140798,223094,62753,40749,114360,469,-,24,316290,17050,299240,69061,95363,133349,1468,1246715,164899,6865,34402,399031,376391,22641,38802,160223,83684,8232,43760,26752,4941,34687,98825,60702,21087,6940,10097,39261,113735,72301,1608058,1246715,361344,2105422
105年,中山區,99233,2.73,2.36,1.05,1.58,1414782,691348,493817,59157,138374,224790,112032,90971,295578,140670,37215,114759,682,-,63,199229,10678,188551,36405,42830,108190,1125,959064,135655,4727,28618,274983,253750,21233,20710,120207,63705,7871,31991,21283,2559,23541,62691,36758,11214,3881,10838,19033,125004,80189,1215553,959064,256489,1526761
105年,中正區,65178,2.87,2.36,1.28,1.62,1577131,840473,623951,39168,177354,220016,108767,94900,312645,138976,43536,129225,498,-,330,253956,10068,243888,59110,50348,121047,13383,1006541,157974,5700,26433,297505,276475,21030,22380,153396,68567,2620,37296,24245,4406,31479,69018,45022,13098,4205,6693,33000,86488,54601,1323175,1006541,316635,1688083
105年,大同區,51548,2.97,2.46,1.41,1.7,1369131,710623,563143,-,147480,271168,76811,103331,207162,58789,39182,109191,-,-,36,207869,4993,202876,46464,36595,118780,1038,876450,131629,4850,32688,258599,239536,19063,35781,95031,43715,-,25639,15164,2913,30581,67387,46438,9408,3901,7639,53194,73908,49086,1161262,876450,284812,1466914
105年,萬華區,78302,3.01,2.55,1.33,1.7,1361999,670821,503550,29720,137551,205057,84350,130756,270918,94381,50767,121506,4264,-,98,191920,8667,183254,40609,29614,112887,144,902444,144353,4246,29512,298135,278686,19449,26803,130624,42845,6620,24160,8790,3274,25497,44884,24190,10075,3707,6913,22901,78320,54324,1170078,902444,267634,1458420
105年,文山區,104733,3.04,2.6,1.25,1.75,1446455,841970,593851,90811,157308,135937,111444,107684,249340,88829,50654,109370,488,-,79,217079,13596,203483,44026,37842,121482,133,957284,148843,7481,25287,282976,260800,22175,26008,117461,67314,523,41166,23405,2219,33068,69999,46509,11915,4893,6682,33858,95392,49596,1229376,957284,272092,1558824
105年,南港區,46585,3.27,2.81,1.48,1.81,1430341,909551,672226,60132,177194,111162,102810,100530,206287,54513,43819,107955,-,-,-,245056,15499,229557,62395,32937,133981,245,954785,165796,8944,31773,256161,234709,21452,31051,127992,57588,190,36433,17049,3915,30318,78913,47783,13501,6381,11249,32681,85353,48214,1185284,954785,230500,1517255
105年,內湖區,106873,3.15,2.68,1.47,1.84,1542835,947562,692205,38749,216608,168393,81519,110609,234530,66773,37217,129743,796,-,224,267023,15653,251370,62154,42871,145498,847,1030950,140287,6325,25766,300221,279816,20405,27434,132247,79646,9845,49265,14999,5537,32306,81528,49375,15778,5475,10900,39576,111320,54293,1275812,1030950,244862,1660249
105年,士林區,106462,2.99,2.55,1.23,1.66,1569660,924725,668500,60466,195759,125184,147620,96642,275450,110876,50939,113387,249,-,38,269882,13289,256593,68343,54889,128273,5089,1005379,150378,6975,23966,291412,272180,19232,32648,134888,71779,510,43708,23213,4347,29746,75168,45992,15673,4260,9243,33405,93387,61627,1299778,1005379,294399,1679767
