年別,行政區,家庭戶數[戶],每戶人數[人],每戶成年人數[人],每戶就業人數[人],每戶所得收入者人數[人],一、所得收入總計[元],1.受僱人員報酬,[1]本業薪資,[2]兼業薪資,[3]其他收入,2.產業主所得,3.財產所得收入,4.自用住宅設算租金收入,5.經常移轉收入,[1]從私人,[2]從政府,[3]社會保險受益,[4]從企業,[5]從國外,6.雜項收入,二、非消費支出[元],1.利息支出,2.經常移轉支出,[1]對私人,[2]對政府,[3]社會保險,[4]對國外,三、消費支出[元],1.食品及非酒精飲料,2.菸酒及檳榔,3.衣著鞋襪及服飾用品,4.住宅服務、水電瓦斯及 其他燃料,[1]房地租及水費,[2]電費及燃料,5.家具設備及家務維護,6.醫療保健,7.交通,[1]個人交通工具之購置,[2]個人交通設備使用管理及 保養費,[3]乘交通設備及其他交通服務,[4]汽、機車保險費,8.通訊,9.休閒與文化,[1]套裝旅遊[不含自助旅遊],[2]娛樂消遣及文化服務,[3]書報雜誌文具,[4]教育消遣康樂器材及其附屬品,10.教育,11.餐廳及旅館,12.什項消費,可支配所得[元],消費支出[元],儲蓄[元],所得總額[元]
107年,松山區,81067,3.03,2.59,1.24,1.73,1782277,949146,681505,79696,187945,265316,142284,116599,308730,135537,35813,137380,-,-,201,312692,15481,297211,95776,64365,129723,7346,1236019,183005,11679,34635,376680,352936,23744,32270,152151,62933,384,39760,19490,3298,28375,117100,69706,26299,7062,14032,43004,119244,74943,1469585,1236019,233567,1951685
107年,信義區,89477,3.25,2.81,1.48,2.03,1802003,1049456,761507,70072,217877,254568,93707,111290,292901,85977,43140,162718,1066,-,81,285252,6693,278559,68970,64488,144629,471,1124758,150844,8723,33414,302073,279048,23025,36080,164523,74300,6462,42429,21853,3556,30204,88589,52898,20128,4535,11028,40887,132349,62771,1516751,1124758,391994,1918527
107年,大安區,121092,3.14,2.72,1.29,1.84,1797034,1112583,774254,117102,221227,127002,144130,145723,267584,89590,35917,128227,3851,9999,11,277723,11103,266620,60138,64897,141151,433,1203114,160811,6370,29236,369127,350493,18634,28637,154813,78347,2498,44057,28499,3293,31084,107228,73843,16289,5346,11751,42976,126387,68096,1519311,1203114,316198,1936828
107年,中山區,100321,2.92,2.41,1.28,1.72,1590584,903398,669943,41872,191583,145350,159989,125585,256170,91745,32102,115830,843,15649,91,282816,15147,267669,67718,53474,132683,13793,1048631,143102,5270,24283,331530,312326,19204,28996,140671,74891,175,42381,27353,4982,26408,80836,47543,18388,4511,10393,37453,100373,54818,1307768,1048631,259137,1709233
107年,中正區,65487,3.19,2.68,1.5,1.77,1745734,1011299,759635,45418,206246,261474,122894,103868,246006,102705,39853,103449,-,-,192,313231,6336,306895,86989,57072,147273,15560,1047763,156572,7870,35652,295718,277564,18154,29350,136313,67312,939,46927,16103,3343,28420,95628,62509,18326,4949,9844,38387,97937,58605,1432504,1047763,384741,1850711
107年,大同區,51891,3.33,2.89,1.69,1.92,1544837,908808,708585,12147,188076,163810,94681,113527,264011,77177,42135,142632,2067,-,-,257059,8142,248918,64678,38477,145460,303,1063429,156422,6383,27263,303678,281342,22336,23020,172260,67905,-,43728,20424,3753,32888,65623,37046,16378,4831,7369,42804,119381,45801,1287778,1063429,224349,1653686
107年,萬華區,78667,3.1,2.67,1.39,1.83,1436686,663691,525176,11875,126641,340567,55255,75746,301010,109737,49806,141004,463,-,416,200556,10814,189741,48382,29725,110700,935,906856,149441,8324,27069,231541,209481,22060,26230,131591,65886,5780,33998,23558,2550,29202,58497,33318,13657,3765,7757,24977,107490,46607,1236130,906856,329274,1513921
107年,文山區,105883,3.03,2.65,1.29,1.84,1517569,898803,662616,58182,178004,113504,116967,89504,298774,117588,44448,131739,1046,3952,18,221066,8362,212704,43713,41226,122704,5061,1009844,152578,7065,26451,289841,269642,20199,25951,153617,70243,4254,38517,23645,3827,27775,80194,46189,17282,5339,11385,29347,101095,45687,1296503,1009844,286658,1625308
107年,南港區,47166,3.12,2.74,1.41,1.96,1529307,947211,695267,49272,202672,127823,74364,93602,286060,103914,44995,137151,-,-,246,247140,4545,242595,70168,38687,127511,6230,1029203,169061,8425,24252,291237,269540,21697,24307,145412,76892,1556,48583,21647,5105,26503,85903,49637,22961,4654,8650,28005,93533,55672,1282167,1029203,252964,1646931
107年,內湖區,108393,3.33,2.7,1.57,1.9,1676954,1105860,839355,39730,226775,114085,86166,128766,242028,61493,37626,135684,964,6261,50,308464,14834,293630,65054,65265,162217,1094,1103014,161862,7918,28168,317082,297498,19584,23896,142562,92555,6012,53172,26594,6778,30345,81104,50111,15729,6144,9121,48034,117524,51964,1368490,1103014,265476,1790219
