type,properties.bsm_bussto,properties.bsm_chines,geometry.type,geometry.coordinates,經度,緯度
Feature,15061.0,三民高中,Point,"121.47255918979997, 25.086300806026998",121.47255918979997, 25.086300806026998
Feature,10624.0,三民街,Point,"121.48503742643915, 25.063637143186053",121.48503742643915, 25.063637143186053
Feature,3386.0,三民街,Point,"121.48512801718998, 25.06332590935304",121.48512801718998, 25.06332590935304
Feature,1001094.0,三民煤礦,Point,"121.64558, 25.01216",121.64558, 25.01216
Feature,1491.0,三民路,Point,"121.53536, 24.97206",121.53536, 24.97206
Feature,60127.0,三民路,Point,"121.53486, 24.97231",121.53486, 24.97231
Feature,1001159.0,三多里,Point,"121.41218177314997, 25.01301809274097",121.41218177314997, 25.01301809274097
Feature,3313.0,三多里,Point,"121.41221, 25.01327",121.41221, 25.01327
Feature,10601.0,三安里,Point,"121.49579728835997, 25.06899381105299",121.49579728835997, 25.06899381105299
Feature,3388.0,三安里,Point,"121.49581566996996, 25.069100469237036",121.49581566996996, 25.069100469237036
Feature,20322.0,三角坑,Point,"121.61415, 25.21802",121.61415, 25.21802
Feature,4127.0,三和國中,Point,"121.48737877094347, 25.076355274544117",121.48737877094347, 25.076355274544117
Feature,4126.0,三和國中,Point,"121.48711286109996, 25.076323738185",121.48711286109996, 25.076323738185
Feature,4698.0,三東紡織,Point,"121.42206200991996, 24.995457961920017",121.42206200991996, 24.995457961920017
Feature,3316.0,三東紡織,Point,"121.42196, 24.99529",121.42196, 24.99529
Feature,3317.0,三俊街,Point,"121.42015449073996, 25.015458747617014",121.42015449073996, 25.015458747617014
Feature,4693.0,三俊街,Point,"121.42033556811997, 25.01553555846497",121.42033556811997, 25.01553555846497
Feature,1001157.0,三俊街口,Point,"121.42313957175996, 25.014131449483013",121.42313957175996, 25.014131449483013
Feature,3318.0,三俊街口,Point,"121.42303148709996, 25.01407985613802",121.42303148709996, 25.01407985613802
Feature,2856.0,三城,Point,"121.48294745476524, 24.949651381572167",121.48294745476524, 24.949651381572167
Feature,1000372.0,三城,Point,"121.48327570757219, 24.949637148414755",121.48327570757219, 24.949637148414755
Feature,30007.0,三洋,Point,"121.42697158402918, 25.030157959898247",121.42697158402918, 25.030157959898247
Feature,3490.0,三洋,Point,"121.42670445589775, 25.030300070432375",121.42670445589775, 25.030300070432375
Feature,3392.0,三重中學,Point,"121.49059562697998, 25.053146453598018",121.49059562697998, 25.053146453598018
Feature,13216.0,三重中學,Point,"121.49088, 25.05348",121.49088, 25.05348
