Name,Longtitude,Latitude,Address,Area,St,Li,Lin,ZIP,Enrollment_Number
臺北市文山區溪口國民小學附設幼兒園,121.536703,24.995439,臺北市文山區景慶里5鄰景福街225號,文山區,景福街,景慶里,5鄰,116,136
臺北市文山區志清國民小學附設幼兒園,121.5391962,24.9990348,臺北市文山區景仁里10鄰景福街21巷5號,文山區,景福街,景仁里,10鄰,116,90
臺北市文山區武功國民小學附設幼兒園,121.5403992,25.0039259,臺北市文山區萬祥里1鄰興隆路一段68號,文山區,興隆路,萬祥里,1鄰,116,120
臺北市文山區萬福國民小學附設幼兒園,121.5366774,25.0048433,臺北市文山區萬年里10鄰羅斯福路5段170巷32號,文山區,羅斯福路,萬年里,10鄰,116,136
臺北市文山區興德國民小學附設幼兒園,121.5498781,25.0013345,臺北市文山區興豐里25鄰興隆路2段235號,文山區,興隆路,興豐里,25鄰,116,30
臺北市文山區興華國民小學附設幼兒園,121.5592502,24.9995861,臺北市文山區興光里8鄰興隆路3段125巷6號,文山區,興隆路,興光里,8鄰,116,106
臺北市文山區景興國民小學附設幼兒園,121.5484713,24.9962181,臺北市文山區興安里21鄰景華街150巷21號,文山區,景華街,興安里,21鄰,116,136
臺北市文山區興隆國民小學附設幼兒園,121.5519312,25.0024803,臺北市文山區興旺里1鄰福興路2號,文山區,福興路,興旺里,1鄰,116,166
臺北市文山區辛亥國民小學附設幼兒園,121.5591405,25.0064439,臺北市文山區興昌里7鄰辛亥路4段103號,文山區,辛亥路,興昌里,7鄰,116,76
臺北市文山區明道國民小學附設幼兒園,121.5625578,24.9873333,臺北市文山區明義里18鄰木柵路2段138巷61號,文山區,木柵路,明義里,18鄰,116,76
臺北市立文山幼兒園,121.5607685,24.9877397,臺北市文山區明義里19鄰興隆路四段105巷1號,文山區,興隆路,明義里,19鄰,116,240
臺北市文山區木柵國民小學附設幼兒園,121.5701489,24.9902695,臺北市文山區木柵里1鄰木柵路3段191號,文山區,木柵路,木柵里,1鄰,116,120
臺北市文山區力行國民小學附設幼兒園,121.5611275,24.9809608,臺北市文山區樟腳里21鄰木新路三段155巷7號,文山區,木新路,樟腳里,21鄰,116,150
臺北市文山區博嘉國民小學附設幼兒園,121.575794,25.0017864,臺北市文山區博嘉里6鄰木柵路4段159巷14號之1,文山區,木柵路,博嘉里,6鄰,116,90
臺北市文山區萬興國民小學附設幼兒園,121.5764222,24.9898808,臺北市文山區萬興里19鄰秀明路2段114號,文山區,秀明路,萬興里,19鄰,116,60
國立政治大學附設實驗國民小學附設幼兒園,121.5774023,24.9861185,臺北市文山區萬興里7鄰指南路二段64號,文山區,指南路,萬興里,7鄰,116,90
臺北市文山區指南國民小學附設幼兒園,121.5840896,24.9762326,臺北市文山區指南里4鄰指南路3段38巷5之2號,文山區,指南路,指南里,4鄰,116,30
臺北市文山區萬芳國民小學附設幼兒園,121.5674415,25.0009226,臺北市文山區萬美里8鄰萬和街1號,文山區,萬和街,萬美里,8鄰,116,196
